Time,Lat,Lon,TiltX,TiltY,TiltZ,Lt_0,Lt_1,Lt_2,Lt_3,Lt_4,Lt_5,Lt_6,Lt_7,Lt_8,Lt_9,Gain_Lt,ATIME_Lt,ASTEP_Lt,Li_0,Li_1,Li_2,Li_3,Li_4,Li_5,Li_6,Li_7,Li_8,Li_9,Gain_Li,ATIME_Li,ASTEP_Li,Ed_0,Ed_1,Ed_2,Ed_3,Ed_4,Ed_5,Ed_6,Ed_7,Ed_8,Ed_9,Gain_Ed,ATIME_Ed,ASTEP_Ed
NaN,NaN,NaN,0.25,0.25,10.22,82,281,268,486,655,799,774,385,442,2158,6,255,1000,129,177,275,371,626,1001,938,599,583,1571,5,255,1000,3,5,7,10,15,16,23,13,60,113,5,255,1000
NaN,NaN,NaN,0.25,0.12,10.20,82,281,268,486,655,799,775,385,442,2159,6,255,1000,127,176,272,369,624,955,932,592,574,1554,5,255,1000,3,5,8,10,16,17,24,13,61,115,5,255,1000
NaN,NaN,NaN,0.35,0.22,10.22,83,283,271,492,658,803,779,386,460,2225,6,255,1000,143,183,334,389,648,1164,954,643,575,1584,5,255,1000,3,5,7,10,14,15,21,12,53,99,5,255,1000
NaN,NaN,NaN,0.22,0.14,10.22,83,282,270,490,658,803,779,386,459,2224,6,255,1000,143,183,334,389,648,1164,953,642,570,1579,5,255,1000,3,5,7,10,14,15,21,12,53,99,5,255,1000
NaN,NaN,NaN,0.24,0.25,10.36,83,282,270,490,658,803,779,386,458,2223,6,255,1000,143,183,334,389,648,1164,954,643,572,1581,5,255,1000,3,5,7,10,14,15,21,12,53,99,5,255,1000
NaN,NaN,NaN,0.27,0.20,10.28,83,282,270,490,658,803,779,386,459,2224,6,255,1000,143,183,335,390,649,1165,955,644,575,1585,5,255,1000,3,5,7,10,14,15,21,12,54,99,5,255,1000
NaN,NaN,NaN,0.29,0.16,10.26,83,282,270,490,658,804,779,386,461,2226,6,255,1000,143,183,334,389,649,1165,954,643,575,1584,5,255,1000,3,5,7,10,14,15,21,12,53,99,5,255,1000
NaN,NaN,NaN,0.22,0.20,10.22,83,282,270,490,658,803,779,386,460,2224,6,255,1000,143,183,334,389,648,1165,954,643,574,1583,5,255,1000,3,5,7,10,14,15,21,12,53,99,5,255,1000
NaN,NaN,NaN,0.27,0.24,10.26,83,282,270,490,657,803,779,386,457,2222,6,255,1000,143,183,334,389,648,1165,955,643,569,1580,5,255,1000,3,5,7,10,14,15,21,12,53,99,5,255,1000
NaN,NaN,NaN,0.27,0.14,10.24,83,282,269,489,657,802,778,385,456,2219,6,255,1000,143,182,334,389,648,1165,954,643,570,1579,5,255,1000,3,5,7,10,14,15,21,12,53,99,5,255,1000
NaN,NaN,NaN,0.33,0.16,10.22,83,282,270,490,658,803,779,385,458,2223,6,255,1000,143,183,334,389,648,1165,955,643,572,1582,5,255,1000,3,5,7,10,14,15,21,12,53,99,5,255,1000
